from,to
1,3
1,7
1,11
1,15
2,5
2,6
2,7
2,10
3,1
3,4
3,11
3,14
3,83
4,3
4,11
4,14
4,83
4,84
5,2
5,6
5,7
5,10
6,2
6,5
6,10
6,13
6,17
7,1
7,2
7,5
7,10
7,16
8,11
8,15
8,18
8,220
8,225
9,18
9,37
9,38
9,229
10,2
10,5
10,6
10,7
10,16
11,1
11,3
11,4
11,8
11,14
11,15
12,17
12,28
12,39
12,47
13,6
13,16
13,17
13,19
14,3
14,4
14,11
14,74
14,83
14,84
15,1
15,8
15,11
15,16
15,18
16,7
16,10
16,13
16,15
16,18
17,6
17,12
17,13
17,47
18,8
18,9
18,15
18,16
19,13
19,27
19,28
19,43
19,47
20,26
20,45
20,128
20,137
20,138
20,146
21,30
21,35
21,42
21,129
21,136
21,139
22,32
22,35
22,129
22,131
22,132
23,30
23,37
23,41
23,48
23,142
24,27
24,48
24,126
24,130
24,135
24,149
25,31
25,33
25,35
25,42
25,49
26,20
26,156
26,157
26,162
26,164
27,19
27,24
27,37
27,48
27,126
27,149
28,12
28,19
28,36
28,39
28,43
28,45
28,47
29,128
29,131
29,143
29,157
29,158
29,161
30,21
30,23
30,41
30,125
30,139
30,142
31,25
31,35
31,40
31,41
31,42
31,49
32,22
32,33
32,35
32,158
33,25
33,32
33,35
33,158
34,41
34,44
34,46
34,215
34,224
34,227
35,21
35,22
35,25
35,31
35,32
35,33
35,42
35,129
35,132
36,28
36,39
36,43
36,45
36,47
36,133
36,134
37,9
37,23
37,27
37,38
37,48
38,9
38,37
38,44
38,224
39,12
39,28
39,36
39,47
40,31
40,41
40,46
40,49
41,23
41,30
41,31
41,34
41,40
41,44
42,21
42,25
42,31
42,35
43,19
43,28
43,36
43,45
43,127
43,133
43,134
44,34
44,38
44,41
44,224
45,20
45,28
45,36
45,43
46,34
46,40
46,49
46,208
46,213
47,12
47,17
47,19
47,28
47,36
47,39
48,23
48,24
48,27
48,37
48,126
48,130
48,142
49,25
49,31
49,40
49,46
50,52
50,62
50,63
50,109
51,66
51,67
51,192
51,198
52,50
52,56
52,60
52,63
52,65
53,55
53,62
53,109
53,115
53,116
53,117
54,56
54,64
54,169
54,178
55,53
55,58
55,61
55,86
56,52
56,54
56,60
56,63
56,64
57,60
57,64
57,66
57,67
58,55
58,110
58,111
58,116
58,154
59,60
59,61
59,62
59,65
59,67
60,52
60,56
60,57
60,59
60,65
61,55
61,59
61,65
61,67
61,70
62,50
62,53
62,59
62,63
62,65
62,109
63,50
63,52
63,56
63,62
64,54
64,56
64,57
64,169
64,170
65,52
65,59
65,60
65,61
65,62
66,51
66,57
66,191
66,198
67,51
67,57
67,59
67,61
67,70
68,81
68,86
68,99
68,102
68,103
69,81
69,89
69,153
69,155
70,61
70,67
70,76
70,97
70,98
71,72
71,75
71,85
71,88
71,95
72,71
72,76
72,192
72,222
73,75
73,82
73,219
73,225
74,14
74,79
74,80
74,84
75,71
75,73
75,82
75,221
76,70
76,72
76,88
76,98
77,79
77,82
77,85
77,87
78,79
78,84
78,87
78,89
79,74
79,77
79,78
79,84
79,87
80,74
80,82
80,220
80,225
81,68
81,69
81,89
81,95
81,99
81,102
82,73
82,75
82,77
82,80
82,85
82,220
83,3
83,4
83,14
83,84
84,4
84,14
84,74
84,78
84,79
84,83
85,71
85,77
85,82
85,95
86,55
86,68
86,102
86,154
87,77
87,78
87,79
87,89
88,71
88,76
88,98
88,100
88,101
88,103
89,69
89,78
89,81
89,87
90,91
90,93
90,94
90,171
90,179
90,182
90,185
90,188
91,90
91,92
91,93
91,94
91,171
91,187
92,91
92,93
92,94
92,172
92,187
93,90
93,91
93,92
93,94
93,172
93,182
93,187
94,90
94,91
94,92
94,93
94,171
94,172
94,187
95,71
95,81
95,85
95,99
95,100
96,97
96,100
96,101
96,102
96,103
97,70
97,96
97,98
97,101
97,103
98,70
98,76
98,88
98,97
98,100
98,101
99,68
99,81
99,95
99,100
99,101
99,102
99,103
100,88
100,95
100,96
100,98
100,99
100,101
100,103
101,88
101,96
101,97
101,98
101,99
101,100
101,102
101,103
102,68
102,81
102,86
102,96
102,99
102,101
102,103
103,68
103,88
103,96
103,97
103,99
103,100
103,101
103,102
104,105
104,106
104,107
104,108
104,150
104,221
104,223
104,228
105,104
105,106
105,107
105,108
105,206
105,221
105,223
106,104
106,105
106,107
106,108
106,204
106,206
106,207
107,104
107,105
107,106
107,108
107,150
107,204
107,228
108,104
108,105
108,106
108,107
108,204
108,206
108,207
109,50
109,53
109,62
109,117
109,118
109,119
109,123
110,58
110,111
110,114
110,116
110,121
110,124
111,58
111,110
111,114
111,121
111,124
112,113
112,115
112,120
112,121
112,122
112,123
113,112
113,115
113,117
113,119
113,122
113,123
114,110
114,111
114,115
114,116
114,120
114,121
114,124
115,53
115,112
115,113
115,114
115,116
115,117
115,121
116,53
116,58
116,110
116,114
116,115
116,121
117,53
117,109
117,113
117,115
117,118
117,119
117,123
118,109
118,117
118,119
118,123
119,109
119,113
119,117
119,118
119,122
119,123
120,112
120,114
120,121
120,124
121,110
121,111
121,112
121,114
121,115
121,116
121,120
121,124
122,112
122,113
122,119
122,123
123,109
123,112
123,113
123,117
123,118
123,119
123,122
124,110
124,111
124,114
124,120
124,121
125,30
125,130
125,139
125,140
125,142
126,24
126,27
126,48
126,130
126,142
127,43
127,133
127,134
127,141
127,146
127,147
128,20
128,29
128,137
128,143
128,157
129,21
129,22
129,35
129,132
129,136
129,139
130,24
130,48
130,125
130,126
130,135
130,140
130,142
130,149
131,22
131,29
131,132
131,143
131,144
132,22
132,35
132,129
132,131
132,136
133,36
133,43
133,127
133,134
133,141
133,149
134,36
134,43
134,127
134,133
134,141
135,24
135,130
135,140
135,141
135,149
136,21
136,129
136,132
136,139
136,144
136,145
137,20
137,128
137,138
137,143
137,144
137,146
138,20
138,137
138,146
138,147
138,148
139,21
139,30
139,125
139,129
139,136
140,125
140,130
140,135
140,142
140,145
140,148
141,127
141,133
141,134
141,135
141,147
141,149
142,23
142,30
142,48
142,125
142,126
142,130
142,140
143,29
143,128
143,131
143,137
143,144
144,131
144,136
144,137
144,143
144,145
145,136
145,140
145,144
145,148
146,20
146,127
146,137
146,138
146,147
147,127
147,138
147,141
147,146
147,148
148,138
148,140
148,145
148,147
149,24
149,27
149,130
149,133
149,135
149,141
150,104
150,107
150,205
150,215
150,228
151,152
151,153
151,154
151,155
152,151
152,153
152,154
152,155
153,69
153,151
153,152
153,154
153,155
154,58
154,86
154,151
154,152
154,153
154,155
155,69
155,151
155,152
155,153
155,154
156,26
156,160
156,162
156,164
156,165
157,26
157,29
157,128
157,161
157,162
158,29
158,32
158,33
158,159
158,161
158,163
159,158
159,160
159,161
159,162
159,163
159,165
160,156
160,159
160,161
160,162
160,163
160,165
161,29
161,157
161,158
161,159
161,160
161,162
161,163
162,26
162,156
162,157
162,159
162,160
162,161
162,164
162,165
163,158
163,159
163,160
163,161
163,165
164,26
164,156
164,162
164,165
165,156
165,159
165,160
165,162
165,163
165,164
166,180
166,181
166,183
166,184
166,186
167,175
167,176
167,178
167,183
168,170
168,172
168,176
168,194
169,54
169,64
169,170
169,176
169,178
170,64
170,168
170,169
170,176
170,191
171,90
171,91
171,94
171,174
171,180
171,185
172,92
172,93
172,94
172,168
172,182
172,194
173,174
173,177
173,180
173,184
173,186
174,171
174,173
174,177
174,180
174,185
175,167
175,176
175,183
175,187
176,167
176,168
176,169
176,170
176,175
176,178
177,173
177,174
177,184
177,186
178,54
178,167
178,169
178,176
179,90
179,182
179,185
179,188
180,166
180,171
180,173
180,174
180,181
180,183
180,186
181,166
181,180
181,183
181,186
181,202
181,203
182,90
182,93
182,172
182,179
182,188
183,166
183,167
183,175
183,180
183,181
184,166
184,173
184,177
184,186
184,202
184,203
185,90
185,171
185,174
185,179
186,166
186,173
186,177
186,180
186,181
186,184
186,202
186,203
187,91
187,92
187,93
187,94
187,175
188,90
188,179
188,182
188,193
189,190
189,193
189,196
189,210
189,212
190,189
190,193
190,196
190,199
190,200
191,66
191,170
191,194
191,198
192,51
192,72
192,201
192,206
192,222
193,188
193,189
193,190
193,200
194,168
194,172
194,191
194,197
194,200
195,196
195,197
195,199
195,201
196,189
196,190
196,195
196,199
196,207
196,210
196,212
197,194
197,195
197,198
197,199
198,51
198,66
198,191
198,197
198,201
199,190
199,195
199,196
199,197
199,200
199,201
200,190
200,193
200,194
200,199
201,192
201,195
201,198
201,199
202,181
202,184
202,186
202,203
203,181
203,184
203,186
203,202
204,106
204,107
204,108
204,205
204,207
205,150
205,204
205,214
205,216
206,105
206,106
206,108
206,192
206,222
206,223
207,106
207,108
207,196
207,204
207,210
208,46
208,211
208,213
208,214
208,217
209,210
209,212
209,216
209,218
210,189
210,196
210,207
210,209
210,212
210,216
211,208
211,214
211,217
211,218
212,189
212,196
212,209
212,210
213,46
213,208
213,214
213,215
214,205
214,208
214,211
214,213
214,216
214,217
214,218
215,34
215,150
215,213
215,227
216,205
216,209
216,210
216,214
216,218
217,208
217,211
217,214
217,218
218,209
218,211
218,214
218,216
218,217
219,73
219,221
219,226
219,229
220,8
220,80
220,82
220,225
221,75
221,104
221,105
221,219
221,223
221,228
222,72
222,192
222,206
222,223
223,104
223,105
223,206
223,221
223,222
224,34
224,38
224,44
224,226
224,227
224,229
225,8
225,73
225,80
225,220
225,229
226,219
226,224
226,227
226,228
226,229
227,34
227,215
227,224
227,226
228,104
228,107
228,150
228,221
228,226
229,9
229,219
229,224
229,225
229,226
