region,year,sido,sigungu,cases,population,crude_rate,idarea
강원도강릉시,2001,강원도,강릉시,0,231943,0,1
강원도강릉시,2002,강원도,강릉시,0,229869,0,1
강원도강릉시,2003,강원도,강릉시,0,229073,0,1
강원도강릉시,2004,강원도,강릉시,0,227259,0,1
강원도강릉시,2005,강원도,강릉시,1,224391,0.4456506722640391,1
강원도강릉시,2006,강원도,강릉시,0,222016,0,1
강원도강릉시,2007,강원도,강릉시,0,220484,0,1
강원도강릉시,2008,강원도,강릉시,1,218399,0.45787755438440647,1
강원도강릉시,2009,강원도,강릉시,1,217464,0.45984622742155024,1
강원도강릉시,2010,강원도,강릉시,2,218503,0.9153192404680943,1
강원도강릉시,2011,강원도,강릉시,0,217571,0,1
강원도강릉시,2012,강원도,강릉시,1,217741,0.45926123238159094,1
강원도강릉시,2013,강원도,강릉시,0,216806,0,1
강원도강릉시,2014,강원도,강릉시,0,215807,0,1
강원도강릉시,2015,강원도,강릉시,0,214560,0,1
강원도강릉시,2016,강원도,강릉시,0,213846,0,1
강원도강릉시,2017,강원도,강릉시,1,213952,0.4673945557882142,1
강원도강릉시,2018,강원도,강릉시,0,212957,0,1
강원도강릉시,2019,강원도,강릉시,0,213442,0,1
강원도강릉시,2020,강원도,강릉시,0,213321,0,1
강원도강릉시,2021,강원도,강릉시,0,212965,0,1
강원도강릉시,2022,강원도,강릉시,1,211381,0.4730794158415373,1
강원도강릉시,2023,강원도,강릉시,0,209439,0,1
강원도강릉시,2024,강원도,강릉시,0,207731,0,1
강원도고성군,2001,강원도,고성군,0,34643,0,2
강원도고성군,2002,강원도,고성군,0,33721,0,2
강원도고성군,2003,강원도,고성군,0,32739,0,2
강원도고성군,2004,강원도,고성군,0,32361,0,2
강원도고성군,2005,강원도,고성군,0,31964,0,2
강원도고성군,2006,강원도,고성군,0,31285,0,2
강원도고성군,2007,강원도,고성군,0,30383,0,2
강원도고성군,2008,강원도,고성군,0,30172,0,2
강원도고성군,2009,강원도,고성군,0,30272,0,2
강원도고성군,2010,강원도,고성군,0,30112,0,2
강원도고성군,2011,강원도,고성군,0,30057,0,2
강원도고성군,2012,강원도,고성군,0,30124,0,2
강원도고성군,2013,강원도,고성군,0,30398,0,2
강원도고성군,2014,강원도,고성군,0,30269,0,2
강원도고성군,2015,강원도,고성군,0,30060,0,2
강원도고성군,2016,강원도,고성군,0,30114,0,2
강원도고성군,2017,강원도,고성군,0,30029,0,2
강원도고성군,2018,강원도,고성군,0,28144,0,2
강원도고성군,2019,강원도,고성군,0,27260,0,2
강원도고성군,2020,강원도,고성군,0,26757,0,2
강원도고성군,2021,강원도,고성군,0,27249,0,2
강원도고성군,2022,강원도,고성군,0,27274,0,2
강원도고성군,2023,강원도,고성군,0,27305,0,2
강원도고성군,2024,강원도,고성군,0,26999,0,2
강원도동해시,2001,강원도,동해시,0,103570,0,3
강원도동해시,2002,강원도,동해시,0,102857,0,3
강원도동해시,2003,강원도,동해시,0,101764,0,3
강원도동해시,2004,강원도,동해시,0,100727,0,3
강원도동해시,2005,강원도,동해시,0,99230,0,3
강원도동해시,2006,강원도,동해시,0,97497,0,3
강원도동해시,2007,강원도,동해시,0,96652,0,3
강원도동해시,2008,강원도,동해시,0,95652,0,3
강원도동해시,2009,강원도,동해시,0,95271,0,3
강원도동해시,2010,강원도,동해시,0,95236,0,3
강원도동해시,2011,강원도,동해시,0,95804,0,3
강원도동해시,2012,강원도,동해시,0,93897,0,3
강원도동해시,2013,강원도,동해시,0,95143,0,3
강원도동해시,2014,강원도,동해시,0,94562,0,3
강원도동해시,2015,강원도,동해시,0,93895,0,3
강원도동해시,2016,강원도,동해시,0,93297,0,3
강원도동해시,2017,강원도,동해시,0,92851,0,3
강원도동해시,2018,강원도,동해시,0,91272,0,3
강원도동해시,2019,강원도,동해시,0,90522,0,3
강원도동해시,2020,강원도,동해시,0,90593,0,3
강원도동해시,2021,강원도,동해시,0,90081,0,3
강원도동해시,2022,강원도,동해시,0,89426,0,3
강원도동해시,2023,강원도,동해시,2,88625,2.2566995768688294,3
강원도동해시,2024,강원도,동해시,0,87675,0,3
강원도삼척시,2001,강원도,삼척시,0,79770,0,4
강원도삼척시,2002,강원도,삼척시,0,77434,0,4
강원도삼척시,2003,강원도,삼척시,0,75759,0,4
강원도삼척시,2004,강원도,삼척시,0,74301,0,4
강원도삼척시,2005,강원도,삼척시,0,73134,0,4
강원도삼척시,2006,강원도,삼척시,0,71750,0,4
강원도삼척시,2007,강원도,삼척시,0,70791,0,4
강원도삼척시,2008,강원도,삼척시,0,70954,0,4
강원도삼척시,2009,강원도,삼척시,0,71935,0,4
강원도삼척시,2010,강원도,삼척시,0,72046,0,4
강원도삼척시,2011,강원도,삼척시,0,72312,0,4
강원도삼척시,2012,강원도,삼척시,0,72463,0,4
강원도삼척시,2013,강원도,삼척시,0,73023,0,4
강원도삼척시,2014,강원도,삼척시,0,72314,0,4
강원도삼척시,2015,강원도,삼척시,0,70839,0,4
강원도삼척시,2016,강원도,삼척시,0,69599,0,4
강원도삼척시,2017,강원도,삼척시,0,68514,0,4
강원도삼척시,2018,강원도,삼척시,0,68326,0,4
강원도삼척시,2019,강원도,삼척시,0,67228,0,4
강원도삼척시,2020,강원도,삼척시,0,65243,0,4
강원도삼척시,2021,강원도,삼척시,0,63429,0,4
강원도삼척시,2022,강원도,삼척시,0,63455,0,4
강원도삼척시,2023,강원도,삼척시,0,62651,0,4
강원도삼척시,2024,강원도,삼척시,0,61735,0,4
강원도속초시,2001,강원도,속초시,0,90231,0,5
강원도속초시,2002,강원도,속초시,0,90029,0,5
강원도속초시,2003,강원도,속초시,0,89047,0,5
강원도속초시,2004,강원도,속초시,0,87933,0,5
강원도속초시,2005,강원도,속초시,1,87124,1.1477893576970755,5
강원도속초시,2006,강원도,속초시,0,86073,0,5
강원도속초시,2007,강원도,속초시,0,85370,0,5
강원도속초시,2008,강원도,속초시,0,84599,0,5
강원도속초시,2009,강원도,속초시,0,83822,0,5
강원도속초시,2010,강원도,속초시,1,84302,1.186211477782259,5
강원도속초시,2011,강원도,속초시,0,83745,0,5
강원도속초시,2012,강원도,속초시,0,83579,0,5
강원도속초시,2013,강원도,속초시,0,83109,0,5
강원도속초시,2014,강원도,속초시,0,82432,0,5
강원도속초시,2015,강원도,속초시,0,81992,0,5
강원도속초시,2016,강원도,속초시,0,81793,0,5
강원도속초시,2017,강원도,속초시,0,82273,0,5
강원도속초시,2018,강원도,속초시,0,81682,0,5
강원도속초시,2019,강원도,속초시,0,81786,0,5
강원도속초시,2020,강원도,속초시,0,82665,0,5
강원도속초시,2021,강원도,속초시,0,82791,0,5
강원도속초시,2022,강원도,속초시,0,82806,0,5
강원도속초시,2023,강원도,속초시,0,82054,0,5
강원도속초시,2024,강원도,속초시,0,80933,0,5
강원도양구군,2001,강원도,양구군,0,23198,0,6
강원도양구군,2002,강원도,양구군,0,22527,0,6
강원도양구군,2003,강원도,양구군,0,21995,0,6
강원도양구군,2004,강원도,양구군,0,21692,0,6
강원도양구군,2005,강원도,양구군,0,21480,0,6
강원도양구군,2006,강원도,양구군,0,21269,0,6
강원도양구군,2007,강원도,양구군,0,21401,0,6
강원도양구군,2008,강원도,양구군,0,21303,0,6
강원도양구군,2009,강원도,양구군,0,21323,0,6
강원도양구군,2010,강원도,양구군,0,21843,0,6
강원도양구군,2011,강원도,양구군,0,22285,0,6
강원도양구군,2012,강원도,양구군,0,22799,0,6
강원도양구군,2013,강원도,양구군,0,23594,0,6
강원도양구군,2014,강원도,양구군,0,23888,0,6
강원도양구군,2015,강원도,양구군,0,24089,0,6
강원도양구군,2016,강원도,양구군,0,24010,0,6
강원도양구군,2017,강원도,양구군,0,23835,0,6
강원도양구군,2018,강원도,양구군,0,23408,0,6
강원도양구군,2019,강원도,양구군,0,22764,0,6
강원도양구군,2020,강원도,양구군,0,22278,0,6
강원도양구군,2021,강원도,양구군,0,21748,0,6
강원도양구군,2022,강원도,양구군,1,21383,4.676612262077351,6
강원도양구군,2023,강원도,양구군,0,21056,0,6
강원도양구군,2024,강원도,양구군,0,20621,0,6
강원도양양군,2001,강원도,양양군,0,30180,0,7
강원도양양군,2002,강원도,양양군,0,30076,0,7
강원도양양군,2003,강원도,양양군,0,29480,0,7
강원도양양군,2004,강원도,양양군,0,29187,0,7
강원도양양군,2005,강원도,양양군,0,29132,0,7
강원도양양군,2006,강원도,양양군,0,28661,0,7
강원도양양군,2007,강원도,양양군,0,28472,0,7
강원도양양군,2008,강원도,양양군,0,28115,0,7
강원도양양군,2009,강원도,양양군,0,27957,0,7
강원도양양군,2010,강원도,양양군,1,27929,3.580507715994128,7
강원도양양군,2011,강원도,양양군,0,27942,0,7
강원도양양군,2012,강원도,양양군,0,27802,0,7
강원도양양군,2013,강원도,양양군,0,27659,0,7
강원도양양군,2014,강원도,양양군,0,27521,0,7
