"year","total_cases","crude_global_Moran_I","crude_p_value","EB_global_Moran_I","EB_p_value","crude_significant","EB_significant","note","crude_reference_I","crude_reference_p"
2001,28,-0.0494162034046399,0.868659492999949,-0.0524299820471188,0.901010575407116,FALSE,FALSE,"",-0.04941620340463987,0.8686594929999487
2002,401,0.202428987859624,1.19641815427927e-36,0.200236621353653,7.70806050581323e-37,TRUE,TRUE,"2002 Busan Geumjeong-gu outbreak year",0.20242898785962352,1.1964181542792696e-36
2003,39,0.00638198918798937,0.384394752727752,0.0351113594373762,0.174537400637964,FALSE,FALSE,"",0.00638198918798937,0.38439475272775186
2004,27,0.118269099793528,3.49984255702489e-4,0.114290080703264,0.00217696064692133,TRUE,TRUE,"",0.11826909979352827,3.4998425570248936e-4
2005,19,0.108899593775387,8.90780022288565e-4,-0.0284581544792523,0.714656741894094,TRUE,FALSE,"",0.10889959377538735,8.907800222885647e-4
2006,32,0.0341931341975701,0.161268940169116,,,FALSE,FALSE,"EB: constant_EB_smoothed_rate",0.03419313419757009,0.1612689401691159
2007,34,-0.0177244733276191,0.627799081314842,,,FALSE,FALSE,"EB: constant_EB_smoothed_rate",-0.01772447332761907,0.6277990813148415
2008,36,0.0610138259649189,0.0442574902050556,0.055985633186186,0.0795908917761355,TRUE,FALSE,"",0.06101382596491891,0.04425749020505559
2009,23,0.107289297951628,0.00286107962023637,,,TRUE,FALSE,"EB: constant_EB_smoothed_rate",0.10728929795162843,0.00286107962023637
2010,38,0.188435738172477,6.19974885596801e-10,,,TRUE,FALSE,"2010 low-count grouping diagnostic year; EB: constant_EB_smoothed_rate",0.1884357381724772,6.199748855968012e-10
2011,22,-0.0209117723537695,0.662502919788294,-0.0328741884917998,0.751941780321884,FALSE,FALSE,"",-0.02091177235376948,0.6625029197882937
2012,28,0.0184137892794433,0.283947025755433,,,FALSE,FALSE,"EB: constant_EB_smoothed_rate",0.01841378927944332,0.28394702575543307
2013,36,-0.0378816470161626,0.813885591541427,0.016746572100533,0.306567687791427,FALSE,FALSE,"",-0.03788164701616257,0.8138855915414269
2014,29,-0.0139330063585612,0.601637246722956,0.00677790420896944,0.39540442613745,FALSE,FALSE,"",-0.01393300635856118,0.6016372467229564
2015,31,-0.0483106678934225,0.866260891792299,-0.0335601662354377,0.759247503575988,FALSE,FALSE,"",-0.04831066789342252,0.8662608917922987
2016,47,0.0757334176810826,0.0241370646693875,0.0792494404642364,0.0244418188893733,TRUE,TRUE,"",0.07573341768108259,0.02413706466938755
2017,54,-0.00865504104197488,0.548105962174096,-0.0276312606939334,0.727553980673741,FALSE,FALSE,"",-0.00865504104197488,0.5481059621740959
2018,32,-0.00232947896471932,0.477405016680253,-0.0206038770290083,0.646544334531671,FALSE,FALSE,"",-0.00232947896471932,0.47740501668025315
2019,35,0.0845645733452629,0.0131040382443903,0.0918793264266719,0.0107472167608434,TRUE,TRUE,"",0.08456457334526286,0.01310403824439032
2020,53,0.0768539037796209,0.0211507600669948,0.0552921092335119,0.0811386540618314,TRUE,FALSE,"",0.07685390377962091,0.02115076006699484
2021,28,0.0234090987012852,0.240251909106267,0.0033386149157462,0.425584052032751,FALSE,FALSE,"",0.02340909870128525,0.24025190910626676
2022,32,0.00445582163891431,0.398489834510346,0.0112478853432065,0.351722241664272,FALSE,FALSE,"",0.00445582163891431,0.3984898345103461
2023,15,-0.0217731725023932,0.674642813906862,-0.0264505953536431,0.711418588747405,FALSE,FALSE,"",-0.02177317250239325,0.674642813906862
2024,20,-0.00226331381600223,0.477171425810583,0.00612403003349359,0.395214960669886,FALSE,FALSE,"",-0.00226331381600222,0.4771714258105834
