"sensitivity_type","scenario","adjacency","k","window_start","window_end","model","variable","safe_name","form","forced","included_rows","included_cases","IRR","IRR_CrI_lower","IRR_CrI_upper","actual_sign","baseline_sign","sign_matches_baseline","CrI_includes_1","baseline_CrI_includes_1","elevated_cluster_count","lower_cluster_count","residual_moran_raw","residual_moran_raw_p","residual_moran_pearson","residual_moran_pearson_p","DIC","WAIC","numerical_status","status","runtime_seconds","mode_status","CPO_failure_count"
"adjacency","Queen_2011_2024_reference","Queen",,2011,2024,"M6","고령인구비율","elderly_t3_z","T3",TRUE,3121,462,1.1592889712661756,0.9681112188743214,1.3889368085277112,"positive","positive",TRUE,TRUE,TRUE,0,0,-0.00960062852294552,0.5466298391470187,-0.01044883278003242,0.5542135728383438,,,"reference_from_baseline_outputs","EXPLORATORY_PRE_APPROVAL",,,
"adjacency","Queen_2011_2024_reference","Queen",,2011,2024,"M6","도시지역인구비율","urban_population_z","raw",TRUE,3121,462,0.9999033086531528,0.856187551184686,1.1682359398576887,"negative","negative",TRUE,TRUE,TRUE,0,0,-0.00960062852294552,0.5466298391470187,-0.01044883278003242,0.5542135728383438,,,"reference_from_baseline_outputs","EXPLORATORY_PRE_APPROVAL",,,
"adjacency","Queen_2011_2024_reference","Queen",,2011,2024,"M6","성비","sex_ratio_z","raw",TRUE,3121,462,0.9622068551789226,0.8153830330458164,1.1411626452934107,"negative","negative",TRUE,TRUE,TRUE,0,0,-0.00960062852294552,0.5466298391470187,-0.01044883278003242,0.5542135728383438,,,"reference_from_baseline_outputs","EXPLORATORY_PRE_APPROVAL",,,
"adjacency","Queen_2011_2024_reference","Queen",,2011,2024,"M6","요양기관수_요양병원","longterm_hospital_z","raw",FALSE,3121,462,1.1598520673016144,0.9678826853094096,1.3829770369127368,"positive","positive",TRUE,TRUE,TRUE,0,0,-0.00960062852294552,0.5466298391470187,-0.01044883278003242,0.5542135728383438,,,"reference_from_baseline_outputs","EXPLORATORY_PRE_APPROVAL",,,
"adjacency","Queen_2011_2024_reference","Queen",,2011,2024,"M6","요양기관수_의원","clinic_z","raw",FALSE,3121,462,0.8155266882491657,0.6709952143146012,0.9929324297635438,"negative","negative",TRUE,FALSE,FALSE,0,0,-0.00960062852294552,0.5466298391470187,-0.01044883278003242,0.5542135728383438,,,"reference_from_baseline_outputs","EXPLORATORY_PRE_APPROVAL",,,
"adjacency","Queen_2011_2024_reference","Queen",,2011,2024,"M6","요양기관수_종합병원","general_hospital_z","raw",FALSE,3121,462,1.1580348232220032,0.9884140035019244,1.3551842327496653,"positive","positive",TRUE,TRUE,TRUE,0,0,-0.00960062852294552,0.5466298391470187,-0.01044883278003242,0.5542135728383438,,,"reference_from_baseline_outputs","EXPLORATORY_PRE_APPROVAL",,,
"adjacency","Queen_2011_2024_reference","Queen",,2011,2024,"M6","의원_가정의학과","family_medicine_clinic_z","raw",FALSE,3121,462,0.8603241771880684,0.6996421451950285,1.0591108879602462,"negative","negative",TRUE,TRUE,TRUE,0,0,-0.00960062852294552,0.5466298391470187,-0.01044883278003242,0.5542135728383438,,,"reference_from_baseline_outputs","EXPLORATORY_PRE_APPROVAL",,,
"adjacency","Queen_2011_2024_reference","Queen",,2011,2024,"M6","인구천명당의료기관종사의사수","physicians_per_1000_z","raw",FALSE,3121,462,1.188650803324501,1.070346291772902,1.320111131201932,"positive","positive",TRUE,FALSE,FALSE,0,0,-0.00960062852294552,0.5466298391470187,-0.01044883278003242,0.5542135728383438,,,"reference_from_baseline_outputs","EXPLORATORY_PRE_APPROVAL",,,
"adjacency","KNN_K3_2011_2024","KNN",3,2011,2024,"M6","고령인구비율","elderly_t3_z","T3",TRUE,3121,462,1.1575090892816977,0.9664775165761462,1.3866620733067678,"positive","positive",TRUE,TRUE,TRUE,0,0,0.013616754206612439,0.3524218621465519,0.029606343938122046,0.2384621068436716,2473.6617808098645,2475.1421664516097,"PASS","EXPLORATORY_PRE_APPROVAL",3.1169228553771973,"0",0
"adjacency","KNN_K3_2011_2024","KNN",3,2011,2024,"M6","도시지역인구비율","urban_population_z","raw",TRUE,3121,462,1.0006544931090424,0.8571462142438631,1.1687486375416642,"positive","negative",FALSE,TRUE,TRUE,0,0,0.013616754206612439,0.3524218621465519,0.029606343938122046,0.2384621068436716,2473.6617808098645,2475.1421664516097,"PASS","EXPLORATORY_PRE_APPROVAL",3.1169228553771973,"0",0
