"sensitivity_type","scenario","adjacency","k","window_start","window_end","model","variable","safe_name","form","forced","included_rows","included_cases","IRR","IRR_CrI_lower","IRR_CrI_upper","actual_sign","baseline_sign","sign_matches_baseline","CrI_includes_1","baseline_CrI_includes_1","elevated_cluster_count","lower_cluster_count","residual_moran_raw","residual_moran_raw_p","residual_moran_pearson","residual_moran_pearson_p","DIC","WAIC","numerical_status","status","runtime_seconds","mode_status","CPO_failure_count"
"window","Queen_2011_2024_reference","Queen",,2011,2024,"M6","고령인구비율","elderly_t3_z","T3",TRUE,3121,462,1.1592889712661756,0.9681112188743214,1.3889368085277112,"positive","positive",TRUE,TRUE,TRUE,0,0,-0.00960062852294552,0.5466298391470187,-0.01044883278003242,0.5542135728383438,,,"reference_from_baseline_outputs","EXPLORATORY_PRE_APPROVAL",,,
"window","Queen_2011_2024_reference","Queen",,2011,2024,"M6","도시지역인구비율","urban_population_z","raw",TRUE,3121,462,0.9999033086531528,0.856187551184686,1.1682359398576887,"negative","negative",TRUE,TRUE,TRUE,0,0,-0.00960062852294552,0.5466298391470187,-0.01044883278003242,0.5542135728383438,,,"reference_from_baseline_outputs","EXPLORATORY_PRE_APPROVAL",,,
"window","Queen_2011_2024_reference","Queen",,2011,2024,"M6","성비","sex_ratio_z","raw",TRUE,3121,462,0.9622068551789226,0.8153830330458164,1.1411626452934107,"negative","negative",TRUE,TRUE,TRUE,0,0,-0.00960062852294552,0.5466298391470187,-0.01044883278003242,0.5542135728383438,,,"reference_from_baseline_outputs","EXPLORATORY_PRE_APPROVAL",,,
"window","Queen_2011_2024_reference","Queen",,2011,2024,"M6","요양기관수_요양병원","longterm_hospital_z","raw",FALSE,3121,462,1.1598520673016144,0.9678826853094096,1.3829770369127368,"positive","positive",TRUE,TRUE,TRUE,0,0,-0.00960062852294552,0.5466298391470187,-0.01044883278003242,0.5542135728383438,,,"reference_from_baseline_outputs","EXPLORATORY_PRE_APPROVAL",,,
"window","Queen_2011_2024_reference","Queen",,2011,2024,"M6","요양기관수_의원","clinic_z","raw",FALSE,3121,462,0.8155266882491657,0.6709952143146012,0.9929324297635438,"negative","negative",TRUE,FALSE,FALSE,0,0,-0.00960062852294552,0.5466298391470187,-0.01044883278003242,0.5542135728383438,,,"reference_from_baseline_outputs","EXPLORATORY_PRE_APPROVAL",,,
"window","Queen_2011_2024_reference","Queen",,2011,2024,"M6","요양기관수_종합병원","general_hospital_z","raw",FALSE,3121,462,1.1580348232220032,0.9884140035019244,1.3551842327496653,"positive","positive",TRUE,TRUE,TRUE,0,0,-0.00960062852294552,0.5466298391470187,-0.01044883278003242,0.5542135728383438,,,"reference_from_baseline_outputs","EXPLORATORY_PRE_APPROVAL",,,
"window","Queen_2011_2024_reference","Queen",,2011,2024,"M6","의원_가정의학과","family_medicine_clinic_z","raw",FALSE,3121,462,0.8603241771880684,0.6996421451950285,1.0591108879602462,"negative","negative",TRUE,TRUE,TRUE,0,0,-0.00960062852294552,0.5466298391470187,-0.01044883278003242,0.5542135728383438,,,"reference_from_baseline_outputs","EXPLORATORY_PRE_APPROVAL",,,
"window","Queen_2011_2024_reference","Queen",,2011,2024,"M6","인구천명당의료기관종사의사수","physicians_per_1000_z","raw",FALSE,3121,462,1.188650803324501,1.070346291772902,1.320111131201932,"positive","positive",TRUE,FALSE,FALSE,0,0,-0.00960062852294552,0.5466298391470187,-0.01044883278003242,0.5542135728383438,,,"reference_from_baseline_outputs","EXPLORATORY_PRE_APPROVAL",,,
"window","Queen_2012_2024","Queen",,2012,2024,"M6","고령인구비율","elderly_t3_z","T3",TRUE,2898,440,1.1895636478214475,0.9935487346689488,1.42472548511163,"positive","positive",TRUE,TRUE,TRUE,0,0,-5.867403865579252e-4,0.46408897105515456,3.6402544100961167e-4,0.45553399698805197,2344.913870212509,2346.495922036327,"PASS","EXPLORATORY_PRE_APPROVAL",3.111502170562744,"0",0
"window","Queen_2012_2024","Queen",,2012,2024,"M6","도시지역인구비율","urban_population_z","raw",TRUE,2898,440,1.0164007718210664,0.8717336295063833,1.1859609517905407,"positive","negative",FALSE,TRUE,TRUE,0,0,-5.867403865579252e-4,0.46408897105515456,3.6402544100961167e-4,0.45553399698805197,2344.913870212509,2346.495922036327,"PASS","EXPLORATORY_PRE_APPROVAL",3.111502170562744,"0",0
"window","Queen_2012_2024","Queen",,2012,2024,"M6","성비","sex_ratio_z","raw",TRUE,2898,440,0.9778307130269867,0.8295223781738101,1.158711131404023,"negative","negative",TRUE,TRUE,TRUE,0,0,-5.867403865579252e-4,0.46408897105515456,3.6402544100961167e-4,0.45553399698805197,2344.913870212509,2346.495922036327,"PASS","EXPLORATORY_PRE_APPROVAL",3.111502170562744,"0",0
"window","Queen_2012_2024","Queen",,2012,2024,"M6","요양기관수_요양병원","longterm_hospital_z","raw",FALSE,2898,440,1.169492419066799,0.9771643531945032,1.392190580747873,"positive","positive",TRUE,TRUE,TRUE,0,0,-5.867403865579252e-4,0.46408897105515456,3.6402544100961167e-4,0.45553399698805197,2344.913870212509,2346.495922036327,"PASS","EXPLORATORY_PRE_APPROVAL",3.111502170562744,"0",0
"window","Queen_2012_2024","Queen",,2012,2024,"M6","요양기관수_의원","clinic_z","raw",FALSE,2898,440,0.8363777609769266,0.6926390680646165,1.0116932312154234,"negative","negative",TRUE,TRUE,FALSE,0,0,-5.867403865579252e-4,0.46408897105515456,3.6402544100961167e-4,0.45553399698805197,2344.913870212509,2346.495922036327,"PASS","EXPLORATORY_PRE_APPROVAL",3.111502170562744,"0",0
"window","Queen_2012_2024","Queen",,2012,2024,"M6","요양기관수_종합병원","general_hospital_z","raw",FALSE,2898,440,1.110502360857113,0.9459558177006847,1.3021655009483486,"positive","positive",TRUE,TRUE,TRUE,0,0,-5.867403865579252e-4,0.46408897105515456,3.6402544100961167e-4,0.45553399698805197,2344.913870212509,2346.495922036327,"PASS","EXPLORATORY_PRE_APPROVAL",3.111502170562744,"0",0
"window","Queen_2012_2024","Queen",,2012,2024,"M6","의원_가정의학과","family_medicine_clinic_z","raw",FALSE,2898,440,0.8712981228266937,0.7102132983823118,1.0701966203510698,"negative","negative",TRUE,TRUE,TRUE,0,0,-5.867403865579252e-4,0.46408897105515456,3.6402544100961167e-4,0.45553399698805197,2344.913870212509,2346.495922036327,"PASS","EXPLORATORY_PRE_APPROVAL",3.111502170562744,"0",0
"window","Queen_2012_2024","Queen",,2012,2024,"M6","인구천명당의료기관종사의사수","physicians_per_1000_z","raw",FALSE,2898,440,1.195037743044464,1.0764274751181075,1.3267836692536443,"positive","positive",TRUE,FALSE,FALSE,0,0,-5.867403865579252e-4,0.46408897105515456,3.6402544100961167e-4,0.45553399698805197,2344.913870212509,2346.495922036327,"PASS","EXPLORATORY_PRE_APPROVAL",3.111502170562744,"0",0
"window","Queen_2013_2024","Queen",,2013,2024,"M6","고령인구비율","elderly_t3_z","T3",TRUE,2675,412,1.2126628868730442,1.0086755088878059,1.4579341025744768,"positive","positive",TRUE,FALSE,TRUE,0,0,0.0024738221401570362,0.4362452654248564,0.0029807641894929763,0.4318175944645671,2200.79345495516,2202.451212660921,"PASS","EXPLORATORY_PRE_APPROVAL",3.1906869411468506,"0",0
"window","Queen_2013_2024","Queen",,2013,2024,"M6","도시지역인구비율","urban_population_z","raw",TRUE,2675,412,1.005491500517545,0.85965966961733,1.1768000593573615,"positive","negative",FALSE,TRUE,TRUE,0,0,0.0024738221401570362,0.4362452654248564,0.0029807641894929763,0.4318175944645671,2200.79345495516,2202.451212660921,"PASS","EXPLORATORY_PRE_APPROVAL",3.1906869411468506,"0",0
"window","Queen_2013_2024","Queen",,2013,2024,"M6","성비","sex_ratio_z","raw",TRUE,2675,412,1.0140061814692907,0.8577421920689693,1.2048271063726221,"positive","negative",FALSE,TRUE,TRUE,0,0,0.0024738221401570362,0.4362452654248564,0.0029807641894929763,0.4318175944645671,2200.79345495516,2202.451212660921,"PASS","EXPLORATORY_PRE_APPROVAL",3.1906869411468506,"0",0
"window","Queen_2013_2024","Queen",,2013,2024,"M6","요양기관수_요양병원","longterm_hospital_z","raw",FALSE,2675,412,1.1671359878152303,0.9677481672687979,1.3993787414731669,"positive","positive",TRUE,TRUE,TRUE,0,0,0.0024738221401570362,0.4362452654248564,0.0029807641894929763,0.4318175944645671,2200.79345495516,2202.451212660921,"PASS","EXPLORATORY_PRE_APPROVAL",3.1906869411468506,"0",0
"window","Queen_2013_2024","Queen",,2013,2024,"M6","요양기관수_의원","clinic_z","raw",FALSE,2675,412,0.8515421201885691,0.7033024368752386,1.032724545638203,"negative","negative",TRUE,TRUE,FALSE,0,0,0.0024738221401570362,0.4362452654248564,0.0029807641894929763,0.4318175944645671,2200.79345495516,2202.451212660921,"PASS","EXPLORATORY_PRE_APPROVAL",3.1906869411468506,"0",0
"window","Queen_2013_2024","Queen",,2013,2024,"M6","요양기관수_종합병원","general_hospital_z","raw",FALSE,2675,412,1.0704260340211367,0.9054134453309357,1.26425296048578,"positive","positive",TRUE,TRUE,TRUE,0,0,0.0024738221401570362,0.4362452654248564,0.0029807641894929763,0.4318175944645671,2200.79345495516,2202.451212660921,"PASS","EXPLORATORY_PRE_APPROVAL",3.1906869411468506,"0",0
"window","Queen_2013_2024","Queen",,2013,2024,"M6","의원_가정의학과","family_medicine_clinic_z","raw",FALSE,2675,412,0.8852444452918323,0.7194545356309237,1.0901155176171982,"negative","negative",TRUE,TRUE,TRUE,0,0,0.0024738221401570362,0.4362452654248564,0.0029807641894929763,0.4318175944645671,2200.79345495516,2202.451212660921,"PASS","EXPLORATORY_PRE_APPROVAL",3.1906869411468506,"0",0
"window","Queen_2013_2024","Queen",,2013,2024,"M6","인구천명당의료기관종사의사수","physicians_per_1000_z","raw",FALSE,2675,412,1.2033884034600302,1.081179306206954,1.339487476853489,"positive","positive",TRUE,FALSE,FALSE,0,0,0.0024738221401570362,0.4362452654248564,0.0029807641894929763,0.4318175944645671,2200.79345495516,2202.451212660921,"PASS","EXPLORATORY_PRE_APPROVAL",3.1906869411468506,"0",0
"window","Queen_2014_2024","Queen",,2014,2024,"M6","고령인구비율","elderly_t3_z","T3",TRUE,2452,376,1.2154203015885257,1.0062106392020265,1.4681587152490039,"positive","positive",TRUE,FALSE,TRUE,0,0,0.010043926266717634,0.3687768433840588,0.015025811535970702,0.3268808475084215,2012.68582584311,2014.0823200898665,"PASS","EXPLORATORY_PRE_APPROVAL",2.9550669193267822,"0",0
