"year","districts","total_cases","total_population","crude_incidence_per_100k","zero_district_pct","busan_cases","busan_geumjeong_cases","moran_i","expected_i","variance","p_value","moran_status","moran_detail","significant_p05","interpretation_flag","label"
2001,223,28,47654117,0.058756728196222796,90.13452914798206,5,0,-0.04941620340463987,-0.0045045045045045045,0.0016077677890153253,0.8686594929999487,"PASS","annual crude incidence; locked Queen 223; snap=0.01; islands=0; components=2",FALSE,"not_significant_p_ge_0.05","EXPLORATORY_PRE_APPROVAL"
2002,223,401,47865637,0.8377617538026287,73.09417040358744,311,190,0.20242898785962354,-0.0045045045045045045,2.701476858269739e-4,1.1964181542792696e-36,"PASS","annual crude incidence; locked Queen 223; snap=0.01; islands=0; components=2",TRUE,"positive_spatial_autocorrelation_p_lt_0.05","EXPLORATORY_PRE_APPROVAL"
2003,223,39,48023181,0.08121078026880393,87.4439461883408,7,0,0.006381989187989372,-0.0045045045045045045,0.0013715245346515746,0.38439475272775186,"PASS","annual crude incidence; locked Queen 223; snap=0.01; islands=0; components=2",FALSE,"not_significant_p_ge_0.05","EXPLORATORY_PRE_APPROVAL"
2004,223,27,48219245,0.05599424047390207,89.68609865470853,4,2,0.11826909979352829,-0.0045045045045045045,0.0013119439893415651,3.4998425570248936e-4,"PASS","annual crude incidence; locked Queen 223; snap=0.01; islands=0; components=2",TRUE,"positive_spatial_autocorrelation_p_lt_0.05","EXPLORATORY_PRE_APPROVAL"
2005,223,19,48414323,0.039244584706885195,92.37668161434978,1,1,0.10889959377538735,-0.0045045045045045045,0.0013174031625456258,8.907800222885647e-4,"PASS","annual crude incidence; locked Queen 223; snap=0.01; islands=0; components=2",TRUE,"positive_spatial_autocorrelation_p_lt_0.05","EXPLORATORY_PRE_APPROVAL"
2006,223,32,48619432,0.06581730531117683,88.78923766816143,4,2,0.03419313419757009,-0.0045045045045045045,0.0015302116334266298,0.1612689401691159,"PASS","annual crude incidence; locked Queen 223; snap=0.01; islands=0; components=2",FALSE,"not_significant_p_ge_0.05","EXPLORATORY_PRE_APPROVAL"
2007,223,34,48887182,0.06954788271494151,86.09865470852019,1,0,-0.01772447332761907,-0.0045045045045045045,0.0016441686667820238,0.6277990813148415,"PASS","annual crude incidence; locked Queen 223; snap=0.01; islands=0; components=2",FALSE,"not_significant_p_ge_0.05","EXPLORATORY_PRE_APPROVAL"
2008,223,36,49155503,0.07323696799522121,86.54708520179372,1,0,0.061013825964918916,-0.0045045045045045045,0.00147962492659948,0.044257490205055594,"PASS","annual crude incidence; locked Queen 223; snap=0.01; islands=0; components=2",TRUE,"positive_spatial_autocorrelation_p_lt_0.05","EXPLORATORY_PRE_APPROVAL"
2009,223,23,49380601,0.0465769948810465,91.03139013452915,1,0,0.10728929795162845,-0.0045045045045045045,0.0016367485797098833,0.0028610796202363704,"PASS","annual crude incidence; locked Queen 223; snap=0.01; islands=0; components=2",TRUE,"positive_spatial_autocorrelation_p_lt_0.05","EXPLORATORY_PRE_APPROVAL"
2010,223,38,50120531,0.07581723346067502,85.65022421524664,4,0,0.1884357381724772,-0.0045045045045045045,0.0010086823439681041,6.199748855968013e-10,"PASS","annual crude incidence; locked Queen 223; snap=0.01; islands=0; components=2",TRUE,"positive_spatial_autocorrelation_p_lt_0.05","EXPLORATORY_PRE_APPROVAL"
2011,223,22,50333489,0.04370847409365959,92.82511210762333,2,0,-0.020911772353769485,-0.0045045045045045045,0.0015311405375330724,0.6625029197882937,"PASS","annual crude incidence; locked Queen 223; snap=0.01; islands=0; components=2",FALSE,"not_significant_p_ge_0.05","EXPLORATORY_PRE_APPROVAL"
2012,223,28,50545314,0.05539583748554811,90.13452914798206,3,0,0.018413789279443326,-0.0045045045045045045,0.0016101095097414268,0.28394702575543307,"PASS","annual crude incidence; locked Queen 223; snap=0.01; islands=0; components=2",FALSE,"not_significant_p_ge_0.05","EXPLORATORY_PRE_APPROVAL"
2013,223,36,50734303,0.07095790790700328,86.99551569506725,4,0,-0.037881647016162576,-0.0045045045045045045,0.001399169912443058,0.8138855915414269,"PASS","annual crude incidence; locked Queen 223; snap=0.01; islands=0; components=2",FALSE,"not_significant_p_ge_0.05","EXPLORATORY_PRE_APPROVAL"
2014,223,29,50916104,0.0569564395579049,89.23766816143498,2,0,-0.013933006358561187,-0.0045045045045045045,0.0013397902493204451,0.6016372467229564,"PASS","annual crude incidence; locked Queen 223; snap=0.01; islands=0; components=2",FALSE,"not_significant_p_ge_0.05","EXPLORATORY_PRE_APPROVAL"
2015,223,31,51111040,0.06065225829879416,88.34080717488789,4,1,-0.04831066789342252,-0.0045045045045045045,0.0015606106017200068,0.8662608917922987,"PASS","annual crude incidence; locked Queen 223; snap=0.01; islands=0; components=2",FALSE,"not_significant_p_ge_0.05","EXPLORATORY_PRE_APPROVAL"
2016,223,47,51277806,0.09165758769008175,86.09865470852019,7,0,0.07573341768108259,-0.0045045045045045045,0.0016506246515794163,0.02413706466938755,"PASS","annual crude incidence; locked Queen 223; snap=0.01; islands=0; components=2",TRUE,"positive_spatial_autocorrelation_p_lt_0.05","EXPLORATORY_PRE_APPROVAL"
