year,districts,total_cases,total_population,crude_incidence_per_100k,zero_district_pct,moran_i,expected_i,variance,p_value,significant_p05
2001,223,28,47654117,0.058756728196222796,90.13452914798206,-0.04941620340463986,-0.0045045045045045045,0.0016077677890153253,0.8686594929999487,FALSE
2002,223,401,47865637,0.8377617538026287,73.09417040358744,0.20242898785962354,-0.0045045045045045045,2.701476858269739e-4,1.1964181542792696e-36,TRUE
2003,223,39,48023181,0.08121078026880393,87.4439461883408,0.006381989187989372,-0.0045045045045045045,0.0013715245346515746,0.38439475272775186,FALSE
2004,223,27,48219245,0.05599424047390207,89.68609865470853,0.11826909979352829,-0.0045045045045045045,0.0013119439893415651,3.4998425570248936e-4,TRUE
2005,223,19,48414323,0.039244584706885195,92.37668161434978,0.10889959377538735,-0.0045045045045045045,0.0013174031625456258,8.907800222885647e-4,TRUE
2006,223,32,48619432,0.06581730531117683,88.78923766816143,0.03419313419757009,-0.0045045045045045045,0.0015302116334266298,0.1612689401691159,FALSE
2007,223,34,48887182,0.06954788271494151,86.09865470852019,-0.01772447332761907,-0.0045045045045045045,0.0016441686667820238,0.6277990813148415,FALSE
2008,223,36,49155503,0.07323696799522121,86.54708520179372,0.061013825964918916,-0.0045045045045045045,0.00147962492659948,0.044257490205055594,TRUE
2009,223,23,49380601,0.0465769948810465,91.03139013452915,0.10728929795162845,-0.0045045045045045045,0.0016367485797098833,0.0028610796202363704,TRUE
2010,223,38,50120531,0.07581723346067502,85.65022421524664,0.1884357381724772,-0.0045045045045045045,0.0010086823439681041,6.199748855968013e-10,TRUE
2011,223,22,50333489,0.04370847409365959,92.82511210762333,-0.020911772353769485,-0.0045045045045045045,0.0015311405375330724,0.6625029197882937,FALSE
2012,223,28,50545314,0.05539583748554811,90.13452914798206,0.01841378927944333,-0.0045045045045045045,0.0016101095097414266,0.28394702575543307,FALSE
2013,223,36,50734303,0.07095790790700328,86.99551569506725,-0.037881647016162576,-0.0045045045045045045,0.001399169912443058,0.8138855915414269,FALSE
2014,223,29,50916104,0.0569564395579049,89.23766816143498,-0.01393300635856119,-0.0045045045045045045,0.0013397902493204451,0.6016372467229564,FALSE
2015,223,31,51111040,0.06065225829879416,88.34080717488789,-0.04831066789342246,-0.0045045045045045045,0.0015606106017200065,0.8662608917922983,FALSE
2016,223,47,51277806,0.09165758769008175,86.09865470852019,0.07573341768108259,-0.0045045045045045045,0.0016506246515794163,0.02413706466938755,TRUE
2017,223,54,51364407,0.10513116602319578,82.0627802690583,-0.008655041041974884,-0.0045045045045045045,0.001179010440506055,0.5481059621740959,FALSE
2018,223,32,51417989,0.06223502828941832,88.34080717488789,-0.0023294789647193242,-0.0045045045045045045,0.0014731943095666353,0.47740501668025315,FALSE
2019,223,35,51446376,0.06803200287615983,86.99551569506725,0.08456457334526286,-0.0045045045045045045,0.001605203981077751,0.01310403824439032,TRUE
2020,223,53,51429636,0.10305342234971292,82.51121076233184,0.07685390377962091,-0.0045045045045045045,0.0016053920825085761,0.02115076006699484,TRUE
2021,223,28,51247421,0.05463689577666747,90.5829596412556,0.02340909870128525,-0.0045045045045045045,0.0015654782552455716,0.24025190910626676,FALSE
2022,223,32,51054084,0.06267862919644196,90.13452914798206,0.004455821638914319,-0.0045045045045045045,0.001213137712863599,0.3984898345103461,FALSE
2023,223,15,50957886,0.029436071975199284,94.17040358744396,-0.02177317250239325,-0.0045045045045045045,0.0014546630395692408,0.674642813906862,FALSE
2024,223,20,50841213,0.03933816449265284,92.82511210762333,-0.002263313816002232,-0.0045045045045045045,0.001532306828362196,0.47717142581058347,FALSE
